basin_id,basin_name,region,basin_area_km2,cell_count,year,net_water_demand_deficit_mm_yr,groundwater_storage_mm,glacier_storage_mm_we
2425,Qiantang Jiang,AS,42145.5,15,1962,10.461134847005209,49.42525838216146,0.0
2426,Red,AS,148025.4,53,1962,18.88488500916733,43.74832299070538,0.0
2427,Tenryu,AS,5155.2,1,1962,23.486610412597656,38.48213577270508,0.0
2428,Thu Bon,AS,9543.8,4,1962,10.402824640274048,59.935410499572754,0.0
2429,Tone,AS,15912.3,9,1962,62.00055628352695,41.65888807508681,0.0
2430,Tumen,AS,33169.8,15,1962,0.11818301677703857,16.05064827601115,0.0
2431,Vam Co,AS,15587.4,3,1962,17.788846691449482,90.78418731689453,0.0
2432,Yalu River,AS,62214.1,28,1962,0.6693696651075568,27.074204342705862,0.0
2433,Yangtze,AS,1748118.3,660,1962,15.89220150331392,48.02876717306407,59778.937778942665
2434,Yellow River,AS,962986.0,390,1962,27.522979042875203,12.499941723738143,36590.31412031016
2435,Yodo,AS,7705.9,4,1962,104.3737120628357,16.210753440856934,0.0
2436,Hai He,AS,234531.0,98,1962,61.41155802884272,2.9367770244416436,0.0
2437,Zhu,AS,411930.0,142,1962,10.30867330189532,63.93465805053711,0.0
2901,Alakol,AS,63345.0,29,1962,44.029305726151776,31.661605718343154,34764.433340098585
2902,Aral Sea,AS,1372516.9,582,1962,100.41544560358622,16.212265801629286,57541.16474254103
2903,Atrek,AS,36400.2,13,1962,16.038127033717252,-49.26130337898548,0.0
2904,Dead Sea,EU,54289.0,21,1962,36.09565943852067,15.007837760448457,0.0
2905,Chuy (Also Shu),AS,152950.5,68,1962,52.5474559196525,8.234919232365332,32392.233262730504
2906,Hamun,AS,400645.6,153,1962,30.674281570277795,7.433030304722776,18135.962512512513
2907,Hamun-I-Lora,AS,46140.3,17,1962,6.252428921942528,0.7249035628942343,0.0
2908,Hamun-I-Mashkel,AS,118949.6,43,1962,1.3497820205520838,-2.862277230247855,0.0
2909,Har Us Nuur,AS,229005.7,115,1962,0.17920135918327354,37.946996334820795,48195.38162085394
2910,Lake Balkhash,AS,414761.4,191,1962,56.02183742045914,18.44265435886292,46209.923287062666
2911,Lake Urmia,AS,52199.6,21,1962,112.15742819649833,28.324651116132735,0.0
2912,Sarysu,AS,134139.4,65,1962,13.617797444986467,3.7200320322687426,0.0
2913,Talas,AS,66179.8,30,1962,41.326273114166476,10.595905862175501,26414.905427686408
2914,Tarim He (Also Talimu He),AS,1563201.7,648,1962,62.312159142773055,7.142581388010021,62916.69926939672
2915,Torghay,AS,248240.7,121,1962,1.495208859288444,5.800188368711716,0.0
2916,Ulungur Hu,AS,48101.7,24,1962,10.582226959659772,6.987608920125401,36536.75494641429
2917,Ural (Also Oral),AS,211009.2,111,1962,35.54527226208072,12.094611147446418,0.0
2918,Uvs Nuur (Also Ubsu-Nur),AS,73574.5,36,1962,0.10344083327800035,27.689536505275303,41600.82534705245
2919,Ysyk-Kol (Also Issyk-Kul),AS,21918.0,10,1962,44.251997566223146,34.06156713962555,32988.41704409384
2920,Zhem (Also Emba),AS,74090.8,35,1962,nan,2.036940959841013,0.0
3201,Acarau,SA,14577.9,5,1962,0.058283597230911255,44.36405143737793,0.0
3202,Amacuro (Also Amakura),SA,3759.8,1,1962,64.74681091308594,85.68482971191406,0.0
3203,Amazon (Also Amazonas),SA,5965893.5,1951,1962,14.23270508892376,117.47991896773156,53298.57679494984
3204,Araguari,SA,42496.9,13,1962,0.24557513831398234,101.4280960559845,0.0
3205,Atrato,SA,35995.9,11,1962,198.6140253706412,139.36506167325106,0.0
3206,Barima,SA,904.5,0,1962,nan,nan,0.0
3207,Capim,SA,49627.3,14,1962,0.4544944683355944,104.48555864606585,0.0
3208,Catatumbo,SA,27553.5,9,1962,40.258459428946175,24.255100780063206,0.0
3209,Chico,SA,31904.1,17,1962,0.005297423107549548,12.044056739658117,60507.12589639632
3210,Chubut,SA,137936.3,63,1962,2.3580801325957648,23.08244957745312,43273.92698431366
3211,Coig,SA,24958.3,10,1962,nan,2.1925450444221495,0.0
3212,Colorado,SA,400889.8,158,1962,38.06244744577191,17.777928277636406,74030.9108722718
3213,Coppename Rivier,SA,21203.8,9,1962,7.217323765779535,64.85137473212347,0.0
3214,Courantyne,SA,64286.2,21,1962,10.551398754230744,46.097696940104164,0.0
3215,Cuyuni,SA,85207.9,29,1962,3.88513862971088,91.48161740138613,0.0
3216,De Contas,SA,55394.9,17,1962,0.7902190027137598,5.55588512643076,0.0
3217,Deseado,SA,30054.8,17,1962,1.6050408547744155,62.24245075728087,0.0
3218,Doce,SA,82935.1,27,1962,2.2865085811526686,29.21440096254702,0.0
3219,Essequibo,SA,69649.3,22,1962,4.997927456501532,128.81561331315473,0.0
3220,Gallegos,SA,11379.4,7,1962,3.0078753232955933,9.910997101238795,0.0
3221,Gurupi,SA,34831.3,12,1962,0.11620408413000405,80.94559097290039,0.0
3222,Itapecuru,SA,52991.3,20,1962,5.563036517623593,41.41202278137207,0.0
3223,Itapicuru,SA,36065.6,12,1962,0.51237827911973,5.960628380440175,0.0
3224,Jacui,SA,71806.3,25,1962,29.73974072813988,47.61324226379394,0.0
3225,Jaguaribe,SA,73491.3,25,1962,0.5741975529021338,42.47980033397675,0.0
3226,Jequitinhonha,SA,70981.2,26,1962,4.7379756472073495,10.614892106503248,0.0
3227,Magdalena,SA,260736.5,86,1962,4.852715557051259,65.77429372210835,66883.61802163851
3228,Maroni,SA,66408.9,21,1962,11.274247521445865,76.41598528907413,0.0
3229,Mearim,SA,55843.9,17,1962,3.773335685953498,41.656500199261835,0.0
3230,Merin (Also Mirim),SA,56210.9,22,1962,8.133810448968275,25.561212279579856,0.0
3231,Mucuri,SA,15613.0,6,1962,1.0174070596694946,11.33837374051412,0.0
3232,Negro,SA,136085.0,56,1962,14.162672131051592,34.58831055064352,62525.156143616565
3233,Oiapoque (Also Oyapok),SA,26097.3,8,1962,2.8041673116385937,92.60791254043579,0.0
3234,Orinoco,SA,941418.5,308,1962,33.82994938166959,98.70855185573963,44883.53718092311
3235,Paraguacu,SA,54759.1,18,1962,0.37270574147502583,2.9415564991342014,0.0
3236,Paraiba,SA,19753.7,6,1962,5.065651252865791,2.14151281863451,0.0
3237,Paraiba Do Sul,SA,57234.4,21,1962,1.0479470725570406,43.81311852591379,0.0
3238,Parana,SA,2646512.9,934,1962,5.32958651211794,28.7616139848264,14796.895908063416
3239,Parnaiba,SA,332978.7,106,1962,3.69529279103053,31.280311251173394,0.0
3240,Pindare,SA,40534.1,12,1962,0.14241462607275357,67.52572643756866,0.0
3241,Salsa,SA,31592.2,11,1962,0.8506779571374258,4.187915815379132,0.0
3242,Ribeira Do Iguape,SA,24754.1,8,1962,2.370841098949313,54.51144027709961,0.0
3243,Rio De La Plata,SA,427308.3,169,1962,20.537026352508637,-15.276299037898962,0.0
3244,Santa Cruz,SA,28901.7,16,1962,0.0,60.35831728577614,270391.73721876653
3245,Sao Francisco,SA,637201.7,212,1962,3.252467658844564,61.827775421156986,0.0
3246,Suriname Rivier,SA,16816.3,3,1962,0.027028128504753113,86.88014221191406,0.0
3247,Tocantins,SA,772468.6,255,1962,4.971124593617327,67.95308435200695,0.0
3248,Uruguay,SA,266134.1,100,1962,12.173140130560807,31.60207622766495,0.0
